ID_Unidad,Placa,Serial,Marca,Modelo,Color,Tipo_Vehiculo,Tipo_Flota,Estatus_Final,Situacion_Actual,Gerencia,Responsable_Usuario,Cargo_Usuario,Ubicacion_Taller,Documento_Url,Ubicacion_Actual
16779,56JABI,8ZCEC14T35V314658,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,DESINCORPORADO,FUERA DE SERVICIO,AIT,TRANSPORTE TERRESTRE,,,,
16785,13ICAD,8ZCEC14T67V315936,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,DESINCORPORADO,FUERA DE SERVICIO,SERVICIOS LOGISTICOS,TRANSPORTE TERRESTRE,,,,
16160,69DAAW,8ZCEC14T61V308265,CHEVROLET,CHEYENNE,BLANCO,PICK-UP,Liviana,EN ESPERA POR REMOLQUE,POR CERTIFICAR FALLA,SERVICIOS LOGISTICOS,JULIO SANCHEZ,,,,
21098,64HKAP,3FTRF17WX7MA05736,FORD,F-150,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,AIT,TRANSPORTE TERRESTRE,,,,
21102,11GKAR,3FTRF17W27MA17377,FORD,F-150,BLANCO,PICK-UP,Liviana,DESINCORPORADO,FUERA DE SERVICIO,AIT,TRANSPORTE TERRESTRE,,,,
21114,41FKAR,3FTRF17W77MA17343,FORD,F-150,BLANCO,PICK-UP,Liviana,EN PROCESO DE DESINCORPORACION,FUERA DE SERVICIO,PROYECTOS MAYORES,TRANSPORTE TERRESTRE,,,,
21177,25VNAH,3FTRF17W47MA25562,FORD,F-150,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,AIT,TRANSPORTE TERRESTRE,,,,
21235,68FKAR,3FTRF17WXMA25629,FORD,F-150,BLANCO,PICK-UP,Liviana,DESINCORPORADO,FUERA DE SERVICIO,SEGURIDAD INDUSTRIAL E HIGIENE OCUPACIONAL,TRANSPORTE TERRESTRE,,,,
21245,74VNAH,3FTRF17W07MA25493,FORD,F-150,BLANCO,PICK-UP,Liviana,DESINCORPORADO,FUERA DE SERVICIO,SEGURIDAD INDUSTRIAL E HIGIENE OCUPACIONAL,TRANSPORTE TERRESTRE,,,,
21621,35UVAV,JN1CNUD227X461395,NISSAN,DOBLE CABINA,BLANCO,PICK-UP,Liviana,DESINCORPORADO,FUERA DE SERVICIO,SEGURIDAD INTEGRAL (DSI),TRANSPORTE TERRESTRE,,,,
21628,39UVAV,JN1CNUD227X461387,NISSAN,DOBLE CABINA,BLANCO,PICK-UP,Liviana,DESINCORPORADO,FUERA DE SERVICIO,COORDINACION OPERACIONAL,TRANSPORTE TERRESTRE,,,,
21709,57UVAT,JN1CNUD225A714183,NISSAN,DOBLE CABINA,BLANCO,PICK-UP,Liviana,DESINCORPORADO,FUERA DE SERVICIO,COORDINACION OPERACIONAL,TRANSPORTE TERRESTRE,,,,
21738,52TVAT,JN1CNUD225A714196,NISSAN,DOBLE CABINA,BLANCO,PICK-UP,Liviana,A DESINCORPORAR,FUERA DE SERVICIO,GOIP,TRANSPORTE TERRESTRE,,,,
